"Стрим";"Арх. Компонент";"Название в смарт-анкете СУМ";"Наличие норматива";"Параметр-триггер";"Параметры трудоемкости";"Коэффициенты параметров трудоёмкости";"Формула";"Результат выбора"
"Модельные стримы";"Арх. Компонент. Модельный сервис";"01. Постановка задачи.";"33";"Создание архитектурного компонента ""Модельный сервис""";"Кол-во моделей (Расчетное значение на базе количества созданных моделей);
Регуляторные требования; Общая неопределённость; Наличие готовых промышленных витрин (Необходима продуктивизация)";"Кол-во моделей: 1→1; далее K = 1 + (N−1)×0.75 (2→1.75; 3→2.5; 4→3.25; …). По умолчанию 1
 Регуляторные требования 1–5): 1→1; 2→1.25; 3→1.5; 4→1.75; 5→2. По умолчанию 1
 Общая неопределённость (вычисляемый): K = 1 + Σ(коэф. активных рисков группы рисков) + Поправка(%)/100. По умолчанию 1
 Наличие готовых промышленных витрин (Необходима продуктивизация): Да→0.5; Нет→1";"Итог = ОКРУГЛ.ВВЕРХ( 33 × К(Кол-во моделей) × К(Регуляторные требования) × К(Общая неопределённость) × К(Наличие готовых промышленных витрин (Необходима продуктивизация)) ; 2 ).";"Триггер: Создание архитектурного компонента ""Модельный сервис"".
Норматив: 33 чел-дн.
Формула: Итог = ОКРУГЛ.ВВЕРХ( 33 × К(Кол-во моделей) × К(Регуляторные требования) × К(Общая неопределённость) × К(Наличие готовых промышленных витрин (Необходима продуктивизация)) ; 2 )."
"Модельные стримы";"Арх. Компонент. Система-источник";"02. Поиск данных.";"15";"Наличие готовых промышленных витрин (Необходима продуктивизация)= «Нет»
И
Кол-во источников для проработки > 0 (надо создать хотя бы один источник)";"Общая неопределённость; Кол-во источников для проработки (Расчетное значение на базе количества созданных систем-источников);
Количество оцениваемых инициатив";"Общая неопределённость (вычисляемый): K = 1 + Σ(коэф. активных рисков группы рисков) + Поправка(%)/100. По умолчанию 1
 Кол-во источников для проработки: 1→1; 2→1.2; 3→1.4; 4→1.6; 5→1.8; 6→2; 7→2.2; 8→2.4; 9→2.6; 10→3. По умолчанию 1
 Количество оцениваемых инициатив: делитель итога (целое 1–99, по умолчанию 1); при значении ≤1 — деление не выполняется";"Итог = ОКРУГЛ.ВВЕРХ( 15 × К(Общая неопределённость) × К(Кол-во источников для проработки) ÷ Кол-во оцениваемых инициатив ; 2 ). При Кол-ве инициатив ≤ 1 — без деления.";"Триггер: Наличие готовых промышленных витрин (Необходима продуктивизация) = «Нет» И «Кол-во источников для проработки» > 0 (иначе Итог = 0).
Норматив: 15 чел-дн.
Формула: Итог = ОКРУГЛ.ВВЕРХ( 15 × К(Общая неопределённость) × К(Кол-во источников для проработки) ÷ Кол-во оцениваемых инициатив ; 2 ). При Кол-ве инициатив ≤ 1 — без деления."
"Модельные стримы";"Арх. Компонент. Объект данных";"04. Построение витрины для разработки.";"51";"Создание архитектурного компонента ""Объект данных""
Наличие готовых промышленных витрин (Необходима продуктивизация) = «Нет»";"Регуляторные требования; Общая неопределённость; Количество оцениваемых инициатив";"Регуляторные требования 1–5): 1→1; 2→1.25; 3→1.5; 4→1.75; 5→2. По умолчанию 1
 Общая неопределённость (вычисляемый): K = 1 + Σ(коэф. активных рисков группы рисков) + Поправка(%)/100. По умолчанию 1
 
Количество оцениваемых инициатив: делитель итога (целое 1–99, по умолчанию 1); при значении ≤1 — деление не выполняется";"Итог = ОКРУГЛ.ВВЕРХ( 51 × К(Регуляторные требования) × К(Общая неопределённость) ÷ Кол-во оцениваемых инициатив ; 2 ). При Кол-ве инициатив = 0 — без деления.";"Триггер: Создание архитектурного компонента ""Объект данных"" и Наличие готовых промышленных витрин (Необходима продуктивизация) = «Нет» (иначе Итог = 0).
Норматив: 51 чел-дн.
Формула: Итог = ОКРУГЛ.ВВЕРХ( 51 × К(Регуляторные требования) × К(Общая неопределённость) ÷ Кол-во оцениваемых инициатив ; 2 ). При Кол-ве инициатив = 0 — без деления."
"Модельные стримы";"Арх. Компонент. Модель";"05А. Разработка пилотной модели (MVP)";"40";"Необходимость пилота (MVP)";"Регуляторные требования;
Регуляторные требования; 
Общая неопределённость;
Наличие готовых промышленных витрин (Необходима продуктивизация);
Сложность алгоритма/тип ML задачи";"Кол-во моделей: 1→1; далее K = 1 + (N−1)×0.75 (2→1.75; 3→2.5; 4→3.25; …). По умолчанию 1
 Регуляторные требования 1–5): 1→1; 2→1.25; 3→1.5; 4→1.75; 5→2. По умолчанию 1
 Общая неопределённость (вычисляемый): K = 1 + Σ(коэф. активных рисков группы рисков) + Поправка(%)/100. По умолчанию 1
 Наличие готовых промышленных витрин (Необходима продуктивизация): Да→0.5; Нет→1
 Сложность алгоритма/тип ML задачи: Табличные данные→0.75; Текстовая аналитика — Классические модели→1.25; Текстовая аналитика — LLM→1.4; Аудио аналитика→1.6; Компьютерное зрение (CV)→1.8; Оптимизационная задача→2.5; Гео-аналитика→3.0; Графовая аналитика→3.5. Для каскадов/ансамблей — сумма по выбранным типам";"Итог = ОКРУГЛ.ВВЕРХ( 40 × К(Кол-во моделей) × К(Регуляторные требования) × К(Общая неопределённость) × К(Наличие готовых промышленных витрин (Необходима продуктивизация)) × К(Сложность алгоритма/тип ML задачи) ; 2 ).";"Триггер: Необходимость пилота (MVP) = «Да» (иначе Итог = 0).
Норматив: 40 чел-дн.
Формула: Итог = ОКРУГЛ.ВВЕРХ( 40 × К(Кол-во моделей) × К(Регуляторные требования) × К(Общая неопределённость) × К(Наличие готовых промышленных витрин (Необходима продуктивизация)) × К(Сложность алгоритма/тип ML задачи) ; 2 )."
"Модельный стрим";"Арх. Компонент. Модель";"05. Разработка модели.";"37";"Создание архитектурного компонента ""Модель""";"Кол-во моделей;
Регуляторные требования; Общая неопределённость; Наличие готовых промышленных витрин (Необходима продуктивизация); Сложность алгоритма/тип ML задачи";"Кол-во моделей: 1→1; далее K = 1 + (N−1)×0.75 (2→1.75; 3→2.5; 4→3.25; …). По умолчанию 1
 
Регуляторные требования 1–5): 1→1; 2→1.25; 3→1.5; 4→1.75; 5→2. По умолчанию 1
 Общая неопределённость (вычисляемый): K = 1 + Σ(коэф. активных рисков группы рисков) + Поправка(%)/100. По умолчанию 1
Наличие готовых промышленных витрин (Необходима продуктивизация): Да→0.5; Нет→1 
Сложность алгоритма/тип ML задачи: Табличные данные→0.75; Текстовая аналитика — Классические модели→1.25; Текстовая аналитика — LLM→1.4; Аудио аналитика→1.6; Компьютерное зрение (CV)→1.8; Оптимизационная задача→2.5; Гео-аналитика→3.0; Графовая аналитика→3.5. Для каскадов/ансамблей — сумма по выбранным типам";"Итог = ОКРУГЛ.ВВЕРХ( 37 × К(Кол-во моделей) × К(Регуляторные требования) × К(Общая неопределённость) × К(Наличие готовых промышленных витрин (Необходима продуктивизация)) × К(Сложность алгоритма/тип ML задачи) ; 2 ).";"Триггер: Создание архитектурного компонента ""Модель""
Норматив: 37 чел-дн.
Формула: Итог = ОКРУГЛ.ВВЕРХ( 37 × К(Кол-во моделей) × К(Регуляторные требования) × К(Общая неопределённость) × К(Наличие готовых промышленных витрин (Необходима продуктивизация)) × К(Сложность алгоритма/тип ML задачи) ; 2 )."
"Модельный стрим";"Арх. Компонент. Модель";"AutoML: разработка";"68";"Необходимость AutoML = «Да»";"Кол-во моделей;
Регуляторные требования; Общая неопределённость";"Кол-во моделей: 1→1; далее K = 1 + (N−1)×0.75 (2→1.75; 3→2.5; 4→3.25; …). По умолчанию 1
 Регуляторные требования 1–5): 1→1; 2→1.25; 3→1.5; 4→1.75; 5→2. По умолчанию 1
 Общая неопределённость (вычисляемый): K = 1 + Σ(коэф. активных рисков группы рисков) + Поправка(%)/100. По умолчанию 1";"Итог = ОКРУГЛ.ВВЕРХ( 68 × К(Кол-во моделей) × К(Регуляторные требования) × К(Общая неопределённость) ; 2 ).";"Триггер: «Необходимость AutoML» = «Да» (иначе Итог = 0).
Норматив: 68 чел-дн.
Формула: Итог = ОКРУГЛ.ВВЕРХ( 68 × К(Кол-во моделей) × К(Регуляторные требования) × К(Общая неопределённость) ; 2 )."
"Модельный стрим";"Арх. Компонент. Модельный сервис";"05B. Пилотирование модели.";"34";"Необходимость поддержки проведения пилота = «Да»";"Общая неопределённость; Наличие готовых промышленных витрин (Необходима продуктивизация)";"Общая неопределённость (вычисляемый): K = 1 + Σ(коэф. активных рисков группы рисков) + Поправка(%)/100. По умолчанию 1
Наличие готовых промышленных витрин (Необходима продуктивизация): Да→0.5; Нет→1";"Итог = ОКРУГЛ.ВВЕРХ( 34 × К(Общая неопределённость) × К(Наличие готовых промышленных витрин (Необходима продуктивизация)) ; 2 ).";"Триггер: «Необходимость поддержки проведения пилота» = «Да» (иначе Итог = 0).
Норматив: 34 чел-дн.
Формула: Итог = ОКРУГЛ.ВВЕРХ( 34 × К(Общая неопределённость) × К(Наличие готовых промышленных витрин (Необходима продуктивизация)) ; 2 )."
"Модельный стрим";"Арх. Компонент. Объект данных";"07. Разработка витрины для применения модели.";"56";"Необходимость продуктивизации и количество дополнительных витрин ≠ «Не требуется»";"Количество оцениваемых инициатив;
Регуляторные требования;
Общая неопределённость;
Необходимость продуктивизации и количество дополнительных витрин";"Количество оцениваемых инициатив: делитель итога (целое 1–99, по умолчанию 1); при значении ≤1 — деление не выполняется
 Регуляторные требования 1–5): 1→1; 2→1.25; 3→1.5; 4→1.75; 5→2. По умолчанию 1
 Общая неопределённость (вычисляемый): K = 1 + Σ(коэф. активных рисков группы рисков) + Поправка(%)/100. По умолчанию 1
Необходимость продуктивизации и кол-во доп. витрин: Не требуется→0; 1→1; далее K = 1 + (N−1)×0.75. По умолчанию «Не требуется»";"Итог = ОКРУГЛ.ВВЕРХ( 56 × К(Регуляторные требования) × К(Общая неопределённость) × К(Необходимость продуктивизации и кол-во доп. витрин) ÷ Кол-во оцениваемых инициатив ; 2 ). При Кол-ве инициатив = 0 — без деления.";"Триггер: «Необходимость продуктивизации и количество дополнительных витрин» ≠ «Не требуется» (иначе Итог = 0).
Норматив: 56 чел-дн.
Формула: Итог = ОКРУГЛ.ВВЕРХ( 56 × К(Регуляторные требования) × К(Общая неопределённость) × К(Необходимость продуктивизации и кол-во доп. витрин) ÷ Кол-во оцениваемых инициатив ; 2 ). При Кол-ве инициатив = 0 — без деления."
"Модельный стрим";"Арх. Компонент. Модельный сервис";"09. Адаптация и внедрение модели.";"50";"Каналы внедрения ≠ Пусто";"Кол-во моделей;
Регуляторные требования; Общая неопределённость; Сложность алгоритма/тип ML задачи;
Каналы внедрения";"Кол-во моделей: 1→1; далее K = 1 + (N−1)×0.75 (2→1.75; 3→2.5; 4→3.25; …). По умолчанию 1
 
Регуляторные требования 1–5): 1→1; 2→1.25; 3→1.5; 4→1.75; 5→2. По умолчанию 1
 Общая неопределённость (вычисляемый): K = 1 + Σ(коэф. активных рисков группы рисков) + Поправка(%)/100. По умолчанию 1
Сложность алгоритма/тип ML задачи: Табличные данные→0.75; Текстовая аналитика — Классические модели→1.25; Текстовая аналитика — LLM→1.4; Аудио аналитика→1.6; Компьютерное зрение (CV)→1.8; Оптимизационная задача→2.5; Гео-аналитика→3.0; Графовая аналитика→3.5. Для каскадов/ансамблей — сумма по выбранным типам
 Каналы внедрения: Не требуется→0; Батч→0.5; Батч+загрузка данных потребителю→0.75; Батч+Онлайн→1.2; Онлайн→1.0; Онлайн GPU→1.25; Стриминг→1.5; Мобильные устройства→1.75; LLM→2.0; Гео-сервисы→2.25; Внедрение в облаке→2.5; Графовая платформа→3.0. Несколько каналов — сумма коэффициентов";"Итог = ОКРУГЛ.ВВЕРХ( 50 × К(Кол-во моделей) × К(Регуляторные требования) × К(Общая неопределённость) × К(Сложность алгоритма/тип ML задачи) × К(Каналы внедрения) ; 2 ).";"Триггер: Каналы внедрения ≠ Пусто (иначе Итог = 0).
Норматив: 50 чел-дн.
Формула: Итог = ОКРУГЛ.ВВЕРХ( 50 × К(Кол-во моделей) × К(Регуляторные требования) × К(Общая неопределённость) × К(Сложность алгоритма/тип ML задачи) × К(Каналы внедрения) ; 2 )."
"Модельный стрим";"Арх. Компонент. Модель";"AutoML: внедрение";"68";"Необходимость AutoML = «Да»";"Кол-во моделей;
Регуляторные требования;
Общая неопределённость";"Кол-во моделей: 1→1; далее K = 1 + (N−1)×0.75 (2→1.75; 3→2.5; 4→3.25; …). По умолчанию 1
Регуляторные требования 1–5): 1→1; 2→1.25; 3→1.5; 4→1.75; 5→2. По умолчанию 1
 Общая неопределённость (вычисляемый): K = 1 + Σ(коэф. активных рисков группы рисков) + Поправка(%)/100. По умолчанию 1";"Итог = ОКРУГЛ.ВВЕРХ( 68 × К(Кол-во моделей) × К(Регуляторные требования) × К(Общая неопределённость) ; 2 ).";"Триггер: «Необходимость AutoML» = «Да» (иначе Итог = 0).
Норматив: 68 чел-дн.
Формула: Итог = ОКРУГЛ.ВВЕРХ( 68 × К(Кол-во моделей) × К(Регуляторные требования) × К(Общая неопределённость) ; 2 )."
