Стрим;Арх. Компонент;Название оригинальное;Название;Контекст;Тип работы;Наличие норматива;Параметр-триггер;Параметры трудоемкости;Кто может заполнить;Вопросы;Справочник
ИД. Внутренний;Арх.Компонент.Система источник;Уточнение требований, сбор первичной информации;;Этап 210;Опциональная;1;Тип источника (внутренний);Наличие реплики в DAPP (количества да/нет), Требования по Источникам не понятны, Кол-во доп неопределенных на данный момент Источников/Тематик (риск привнесения новых требований);;"
Дублируют ли параметры общую неопределенность?";Тип системы-источника: 1) Внутренний, 2) Внешний
ИД. Внутренний;Арх.Компонент.Система источник;Исследование Источника/Поиск Данных;;Этап 210;Опциональная;2;Тип источника (внутренний);Наличие реплики в DAPP (количества да/нет), Требования по Источникам не понятны, Кол-во доп неопределенных на данный момент Источников/Тематик (риск привнесения новых требований);;Какие виды работ возможны (разработка с нуля, доработка, и так далее)? Будет ли различатся трудоемкость для разных видов работ?;
ИД. Внутренний;Арх.Компонент.Система источник;Анализ Данных, Связок, Проверка качества;;Этап 210;Опциональная;3;Тип источника (внутренний);Наличие реплики в DAPP (количества да/нет), Требования по Источникам не понятны, Кол-во доп неопределенных на данный момент Источников/Тематик (риск привнесения новых требований);;;
ИД. Внутренний;Арх.Компонент.Система источник;Проработка вопросов с контрагентами;;Этап 210;Опциональная;3;Тип источника (внутренний);Наличие реплики в DAPP (количества да/нет), Требования по Источникам не понятны, Кол-во доп неопределенных на данный момент Источников/Тематик (риск привнесения новых требований);;;
ИД. Внутренний;Арх.Компонент.Система источник;Организация выгрузок;;Этап 210;Опциональная;2;Тип источника (внутренний);Наличие реплики в DAPP (количества да/нет), Требования по Источникам не понятны, Кол-во доп неопределенных на данный момент Источников/Тематик (риск привнесения новых требований);;;
ИД. Внутренний;Арх.Компонент.Система источник;Оформление Аналитической Записки;;Этап 210;Опциональная;1;Тип источника (внутренний);Наличие реплики в DAPP (количества да/нет), Требования по Источникам не понятны, Кол-во доп неопределенных на данный момент Источников/Тематик (риск привнесения новых требований);;;
ИД. Внутренний;Арх.Компонент.Система источник;Расследование проблем с качеством/контроль устранения;;Этап 210;Опциональная;2;Тип источника (внутренний);Наличие реплики в DAPP (количества да/нет), Требования по Источникам не понятны, Кол-во доп неопределенных на данный момент Источников/Тематик (риск привнесения новых требований);;;
ИД. Внутренний;Арх.Компонент.Объект данных;Сбор начальных требований;;Этап 211;Опциональная;2;Тип источника (внутренний);"Кол-во источников в витрине, Неопределенный на данный момент Источников/Метрик с неопредел.логикой расчета (риск привнесения новых требований)
Сложность интеграции (+расчетное количество)";;;
ИД. Внутренний;Арх.Компонент.Объект данных;Анализ Источников ;;Этап 211;Опциональная;4;Тип источника (внутренний);"Кол-во источников в витрине, Неопределенный на данный момент Источников/Метрик с неопредел.логикой расчета (риск привнесения новых требований)
Сложность интеграции (+расчетное количество)";;;
ИД. Внутренний;Арх.Компонент.Объект данных;Постановка RDS/План/Сроки;;Этап 211;Опциональная;3;Тип источника (внутренний);"Кол-во источников в витрине, Неопределенный на данный момент Источников/Метрик с неопредел.логикой расчета (риск привнесения новых требований)
Сложность интеграции (+расчетное количество)";;;
ИД. Внутренний;Арх.Компонент.Объект данных;Описание Бизнес Требования (Шаблон);;Этап 211;Опциональная;1;Тип источника (внутренний);"Кол-во источников в витрине, Неопределенный на данный момент Источников/Метрик с неопредел.логикой расчета (риск привнесения новых требований)
Сложность интеграции (+расчетное количество)";;;
ИД. Внутренний;Арх.Компонент.Объект данных;Проработка связок/Архитектуры;;Этап 211;Опциональная;4;Тип источника (внутренний);"Кол-во источников в витрине, Неопределенный на данный момент Источников/Метрик с неопредел.логикой расчета (риск привнесения новых требований)
Сложность интеграции (+расчетное количество)";;;
ИД. Внутренний;Арх.Компонент.Объект данных;Формирование прототипа/Проработка Технич вопросов;;Этап 211;Опциональная;5;Тип источника (внутренний);"Кол-во источников в витрине, Неопределенный на данный момент Источников/Метрик с неопредел.логикой расчета (риск привнесения новых требований)
Сложность интеграции (+расчетное количество)";;;
ИД. Внутренний;Арх.Компонент.Объект данных;Проработка проверок;;Этап 211;Опциональная;2;Тип источника (внутренний);"Кол-во источников в витрине, Неопределенный на данный момент Источников/Метрик с неопредел.логикой расчета (риск привнесения новых требований)
Сложность интеграции (+расчетное количество)";;;
ИД. Внутренний;Арх.Компонент.Объект данных;Согласование БТ/Передача БТ в разработку;;Этап 211;Опциональная;1;Тип источника (внутренний);"Кол-во источников в витрине, Неопределенный на данный момент Источников/Метрик с неопредел.логикой расчета (риск привнесения новых требований)
Сложность интеграции (+расчетное количество)";;;
ИД. Внутренний;Арх.Компонент.Система источник;Формирование плана интеграций/согласование сроков;;Этап 212;Опциональная;3;Тип источника (внутренний);"Признак промышленной витрины, Количество метрик
Сложность интеграции, (?) Мониторинг";;2 одинаковых состава работ для потока и витрины со своими отдельными наборами параметров Возможно разделение?;
ИД. Внутренний;Арх.Компонент.Система источник;Корректировка/Согласование документации (АИС/Протоколы/Ролевая Модель);;Этап 212;Опциональная;5;Тип источника (внутренний);Признак промышленной витрины, Количество метрик;;;
ИД. Внутренний;Арх.Компонент.Система источник;Ведение активностей по интеграции (Статусные встречи);;Этап 212;Опциональная;5;Тип источника (внутренний);Признак промышленной витрины, Количество метрик;;;
ИД. Внутренний;Арх.Компонент.Система источник;Тестирование (ПРЕДПСИ/ПСИ/Доработки после тестирования);;Этап 212;Опциональная;5;Тип источника (внутренний);Признак промышленной витрины, Количество метрик;;;
ИД. Внутренний;Арх.Компонент.Система источник;Проверка на ПРОМ Контуре/Заведение инцидентов;;Этап 212;Опциональная;4;Тип источника (внутренний);Признак промышленной витрины, Количество метрик;;;
ИД. Внутренний;Арх.Компонент.Система источник;Кол-во объектов для мониторинга (таблиц);;Этап 230;Опциональная;3;Тип источника (внутренний);;;;
ИД. Внутренний;Арх.Компонент.Объект данных;Кол-во объектов для мониторинга (таблиц);;Этап 230;Опциональная;3;Тип источника (внутренний);;;;
ИД. Внешний;Арх.Компонент.Система источник;Интервьюирование заказчика, подтверждение финансирования и обработка RDS;;Этап 214;Опциональная;0,7;Тип источника (внешний);;;Какие виды работ возможны (разработка с нуля, доработка, и так далее)? Будет ли различатся трудоемкость для разных видов работ?;
ИД. Внешний;Арх.Компонент.Система источник;Планирование и работа с бэклогом;;Этап 214;Опциональная;1;Тип источника (внешний);;;"Некоторые названия работ дублируются на разных этапах. Как их отражать в СА: отдельными строками (с различающимися названиями), одной строкой с суммарными трудозатратами?
Необходимость такой детализации? Возможно ли ограничиться этапами?";
ИД. Внешний;Арх.Компонент.Система источник;Сбор и анализ требований;;Этап 214;Опциональная;0,9;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Система источник;Поиск и анализ источника(ов) и данных;;Этап 214;Опциональная;2,7;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Система источник;Подготовка АЗ для заключения NDA, согласование содержания NDA;;Этап 214;Опциональная;0,6;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Система источник;Получение визы от ИБ и ЮБ по возможности обмена конфиденциальными данными;;Этап 214;Опциональная;0,7;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Система источник;Подготовка Отчета о проведенном Исследовании и согласование результата;;Этап 214;Опциональная;0,8;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Система источник;Доработка внутренней документации и информационных ресурсов группы;;Этап 214;Опциональная;1;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент. Система-источник;Интервьюирование заказчика, подтверждение финансирования и обработка RDS;Пилот. Интервьюирование заказчика, подтверждение финансирования и обработка RDS;Этап 215;Опциональная;0,7;Тип источника (внешний), Пилот (первичный, повторный);? Пилот (первичный, повторный);;Учтонить про условие срабатывания по полю - Новый пилот или повторный;
ИД. Внешний;Арх.Компонент. Система-источник;Планирование и работа с бэклогом;Пилот. Планирование и работа с бэклогом;Этап 215;Опциональная;0,9;Тип источника (внешний), Пилот (первичный, повторный);? Пилот (первичный, повторный);;"Как отражать пилот в СА (с детализацией по арх. компонентами или без)?
Если с детализацией - соотнести работы с арх. компонентами, при необходимости, продублировать.";
ИД. Внешний;Арх.Компонент. Система-источник;Сбор и анализ требований;Пилот. Сбор и анализ требований;Этап 215;Опциональная;0,9;Тип источника (внешний), Пилот (первичный, повторный);? Пилот (первичный, повторный);;;
ИД. Внешний;Арх.Компонент. Система-источник;Подготовка АЗ для заключения NDA, согласование содержания NDA;Пилот. Подготовка АЗ для заключения NDA, согласование содержания NDA;Этап 215;Опциональная;0,6;Тип источника (внешний), Пилот (первичный, повторный);? Пилот (первичный, повторный);;;
ИД. Внешний;Арх.Компонент. Система-источник;Согласование пилота / разовой загрузки с ИБ и ЮБ;Пилот. Согласование пилота / разовой загрузки с ИБ и ЮБ;Этап 215;Опциональная;0,7;Тип источника (внешний), Пилот (первичный, повторный);? Пилот (первичный, повторный);;;
ИД. Внешний;Арх.Компонент. Система-источник;Оперативное обеспечение юридического основания или инициация этапа;Пилот. Оперативное обеспечение юридического основания;Этап 215;Опциональная;0,7;Тип источника (внешний), Пилот (первичный, повторный);? Пилот (первичный, повторный);;;
ИД. Внешний;Арх.Компонент. Система-источник;Организация и контроль проведения пилота / разовой загрузки;Пилот. Организация и контроль проведения пилота / разовой загрузки;Этап 215;Опциональная;1,6;Тип источника (внешний), Пилот (первичный, повторный);? Пилот (первичный, повторный);;;
ИД. Внешний;Арх.Компонент. Система-источник;Прием и анализ результатов пилота / разовой загрузки;Пилот. Прием и анализ результатов пилота / разовой загрузки;Этап 215;Опциональная;0,7;Тип источника (внешний), Пилот (первичный, повторный);? Пилот (первичный, повторный);;;
ИД. Внешний;Арх.Компонент. Система-источник;Подготовка Отчета о проведении пилота / разовой загрузки и согласование результата;Пилот. Подготовка Отчета о проведении пилота / разовой загрузки и согласование результата;Этап 215;Опциональная;0,7;Тип источника (внешний), Пилот (первичный, повторный);? Пилот (первичный, повторный);;;
ИД. Внешний;Арх.Компонент. Система-источник;Доработка внутренней документации и инфрмационных ресурсов группы;Пилот. Доработка внутренней документации и инфрмационных ресурсов группы;Этап 215;Опциональная;0,8;Тип источника (внешний), Пилот (первичный, повторный);? Пилот (первичный, повторный);;;
ИД. Внешний;Арх.Компонент.Система источник;Интервьюирование заказчика, подтверждение финансирования и обработка RDS;;Этап 216;Опциональная;0,7;Тип источника (внешний);;;Состав работ добавляется по заполнению поля Источник для для арх.компонента система источник;
ИД. Внешний;Арх.Компонент.Система источник;Планирование и работа с бэклогом;;Этап 216;Опциональная;0,6;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Система источник;Сбор и анализ требований;;Этап 216;Опциональная;1;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Система источник;Подготовка АЗ для заключения NDA, согласование содержания NDA;;Этап 216;Опциональная;0,6;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Система источник;Согласование интеграции с ИБ и ЮБ;;Этап 216;Опциональная;0,6;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Система источник;Подготовка ТЗ для проведения соревновательной процедуры;;Этап 216;Опциональная;0,9;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Система источник;Анализ ТЗ по результатам отборочной процедуры;;Этап 216;Опциональная;0,9;Тип источника (внешний);;;;
ИД. Внешний;Арх.Компонент.Система источник;Подготовка АЗ для договора, согласование содержания договора;;Этап 216;Опциональная;0,7;Тип источника (внешний);;;;
