Стрим;Блок;Раздел;Тип;Название оригинальное;Название в смарт-анкете СУМ;Контекст;Справочник;Значения коэффициентов
Модельный стрим;Общая информация;Арх. компонент. Модель;Вычисляемый;Количество моделей;Отсутствует;все этапы;;"Кол-во моделей, K = 1 + (N−1)×0.75:
1→1; 2→1.75; 3→2.5; 4→3.25; 5→4; 6→4.75; 7→5.5; 8→6.25; 9→7; 10→7.75; далее по формуле. По умолчанию 1"
Модельный стрим;Общая информация;Арх. компонент. Модельный сервис;Ручной;Сложность постановки;Регуляторные требования;все этапы (кроме поиска данных);"1 — Проведение регулярной валидации Регулятором нормативно не установлено
2 — Проведение регулярной валидации Регулятором нормативно не установлено. Модель оценки риска
3 — Проведение регулярной валидации Регулятором нормативно не установлено. Заказчик запрашивает проведение первичной валидации модели
4 — Банком не планируется предоставление Модели Регулятору, но регулярная валидация установлена Регулятором
5 — Банком планируется предоставление Модели Регулятору для одобрения к использованию";"Уровень регуляторных требований → K:
1→1; 2→1.25; 3→1.5; 4→1.75; 5→2. По умолчанию 1"
Модельный стрим;Общая информация;Расчёт общей неопределённости;Ручной;Сроки инициативы;Сроки инициативы;расчёт неопределенности;"Менее 1 мес.; 1–4 мес.; 4–10 мес.; 10–18 мес.; Более 18 мес.";Собственного коэффициента нет: используется в оценке влияния рисков → влияет на «Общую неопределённость»
Модельный стрим;Общая информация;Расчёт общей неопределённости;Ручной;Стоимость инициативы;Стоимость инициативы;расчёт неопределенности;"До 45.3 млн; 45.3–438 млн; 438–870 млн; 870 млн–2 млрд; От 2 млрд";Собственного коэффициента нет: используется в оценке влияния рисков → влияет на «Общую неопределённость»
Модельный стрим;Общая информация;Расчёт общей неопределённости;Ручной;Поправка на общую неопределённость;Поправка на общую неопределённость;расчёт неопределенности;Целое число 0–30 (%). По умолчанию 0;"Прибавляется к «Общей неопределённости» (+значение/100):
0%→+0.00; 1%→+0.01; 2%→+0.02; 3%→+0.03; 4%→+0.04; 5%→+0.05; 6%→+0.06; 7%→+0.07; 8%→+0.08; 9%→+0.09; 10%→+0.10; 11%→+0.11; 12%→+0.12; 13%→+0.13; 14%→+0.14; 15%→+0.15; 16%→+0.16; 17%→+0.17; 18%→+0.18; 19%→+0.19; 20%→+0.20; 21%→+0.21; 22%→+0.22; 23%→+0.23; 24%→+0.24; 25%→+0.25; 26%→+0.26; 27%→+0.27; 28%→+0.28; 29%→+0.29; 30%→+0.30. По умолчанию 0"
Модельный стрим;Общая информация;Параметры;Вычисляемый;Общая неопределённость;Общая неопределённость;расчёт неопределенности;—;"Вычисляемый: K = 1 + Σ(коэффициенты активных рисков) + Поправка/100. По умолчанию 1.
Вклад каждого риска — см. строки группы рисков ниже."
Модельный стрим;Общая информация;Расчёт общей неопределённости;Ручной;Изменение, недостаточная проработка или сложности бизнес-процессов Банка;Изменение, недостаточная проработка или сложности бизнес процессов Банка;расчёт неопределенности;"Вероятность: Не применимо…Реализация 1 раз в 6 мес.; Влияние: незначит.…критичное";"Уровень риска → вклад в «Общую неопределённость»:
Не применимо→+0.00; Низкий→+0.03; Средний→+0.05; Высокий→+0.07; Очень высокий→+0.10.
(Уровень риска = Вероятность × Влияние по матрице рисков.)"
Модельный стрим;Общая информация;Расчёт общей неопределённости;Ручной;Наличие дефектов во внедряемом решении/ПО в рамках проекта;Наличие дефектов во внедряемом решении/ ПО в рамках проекта;расчёт неопределенности;Низкий / Средний / Высокий;"Уровень риска → вклад в «Общую неопределённость»:
Не применимо→+0.00; Низкий→+0.03; Средний→+0.05; Высокий→+0.07; Очень высокий→+0.10.
(Уровень риска = Вероятность × Влияние по матрице рисков.)"
Модельный стрим;Общая информация;Расчёт общей неопределённости;Ручной;Негативное влияние смежных проектов на показатели проекта;Негативное влияние смежных проектов на показатели проекта;расчёт неопределенности;Низкий / Средний / Высокий;"Уровень риска → вклад в «Общую неопределённость»:
Не применимо→+0.00; Низкий→+0.03; Средний→+0.05; Высокий→+0.07; Очень высокий→+0.10.
(Уровень риска = Вероятность × Влияние по матрице рисков.)"
Модельный стрим;Общая информация;Расчёт общей неопределённости;Ручной;Увеличение трудозатрат проекта по причине недостаточной проработки требований на этапе планирования проекта;Увеличение трудозатрат проекта по причине недостаточной проработки требований на этапе планирования;расчёт неопределенности;Низкий / Средний / Высокий;"Уровень риска → вклад в «Общую неопределённость»:
Не применимо→+0.00; Низкий→+0.03; Средний→+0.05; Высокий→+0.07; Очень высокий→+0.10.
(Уровень риска = Вероятность × Влияние по матрице рисков.)"
Модельный стрим;Общая информация;Расчёт общей неопределённости;Ручной;Недобросовестное исполнение услуг со стороны привлеченных контрагентов/подрядчиков;Недобросовестное исполнение услуг со стороны привлеченных контрагентов/ подрядчиков;расчёт неопределенности;Низкий / Средний / Высокий;"Уровень риска → вклад в «Общую неопределённость»:
Не применимо→+0.00; Низкий→+0.03; Средний→+0.05; Высокий→+0.07; Очень высокий→+0.10.
(Уровень риска = Вероятность × Влияние по матрице рисков.)"
Модельный стрим;Общая информация;Расчёт общей неопределённости;Ручной;Отсутствие квалифицированного персонала или ошибок персонала;Отсутствие квалифицированного персонала или ошибок персонала;расчёт неопределенности;Низкий / Средний / Высокий;"Уровень риска → вклад в «Общую неопределённость»:
Не применимо→+0.00; Низкий→+0.03; Средний→+0.05; Высокий→+0.07; Очень высокий→+0.10.
(Уровень риска = Вероятность × Влияние по матрице рисков.)"
