"Стрим";"Арх. Компонент, на базе которого происходит суммирование нескольких экземпляров";"Название в смарт-анкете СУМ";"Наличие норматива";"Параметр-триггер";"Параметры трудоемкости";"Коэффициенты параметров трудоёмкости";"Формула";"Результат выбора"
"Модельные стримы";"Арх. Компонент. Модель";"01. Постановка задачи.";"33";"Создание архитектурного компонента ""Модель""";"Кол-во моделей (Расчетное значение на базе количества созданных моделей (надо создать хотя бы одну модель);

Регуляторные требования (Находятся в блоке ""общая информация""); 

Общая неопределённость;

Наличие готовых промышленных витрин (Находится в арх.компоненте ""Модель"", надо создать хотя бы одну модель)";"Кол-во моделей: 1→1;
далее K = 1 + (N−1)×0.75 (2→1.75; 3→2.5; 4→3.25; …). По умолчанию 1

Регуляторные требования 1–5): 1→1; 2→1.25; 3→1.5; 4→1.75; 5→2. По умолчанию 1

Общая неопределённость (вычисляемый): берется из расчета общей неопределенности. Если она не была рассчитана, то по умолчанию коэффициент 1.

Наличие готовых промышленных витрин: Да→0.5; Нет→1";"Итог = ОКРУГЛ.ВВЕРХ( база × К(Кол-во моделей) × К(Регуляторные требования) × К(Общая неопределённость) × К(Наличие готовых промышленных витрин); 2 ).";"Выбор триггера (иначе Итог = 0).

Норматив: 33 чел-дн.

Сумма значений, рассчитанных по формуле для каждой модели."
"Модельные стримы";"Арх. Компонент. Система-источник";"02. Поиск данных.";"15";"Наличие готовых промышленных витрин = «Нет» (Находится в арх.компоненте ""Модель"", надо создать хотя бы одну модель)

И

Кол-во источников для проработки > 0 (надо создать хотя бы один источник)";"Общая неопределённость; 

Кол-во источников для проработки (Расчетное значение на базе количества созданных архитектурных компонентов ""система-источник"");

Количество оцениваемых инициатив (ввод числа)";"Общая неопределённость (вычисляемый): берется из расчета общей неопределенности. Если она не была рассчитана, то по умолчанию коэффициент 1.

Кол-во источников для проработки: 1→1; 2→1.2; 3→1.4; 4→1.6; 5→1.8; 6→2; 7→2.2; 8→2.4; 9→2.6; 10→3. По умолчанию 1

Количество оцениваемых инициатив: делитель итога (целое 1–99, по умолчанию 1); при значении ≤1 — деление не выполняется";"Итог = ОКРУГЛ.ВВЕРХ( база × К(Общая неопределённость) × К(Кол-во источников для проработки) ÷ Кол-во оцениваемых инициатив ; 2 ). При Кол-ве инициатив ≤ 1 — без деления.";"Выбор триггера (иначе Итог = 0).

Норматив: 15 чел-дн."
"Модельные стримы";"Арх. Компонент. Объект данных";"04. Построение витрины для разработки.";"51";"Создание архитектурного компонента ""Объект данных""

И

Наличие готовых промышленных витрин = «Нет» (Находится в арх.компоненте ""Модель"", надо создать хотя бы одну модель)";"Регуляторные требования; 

Общая неопределённость; 

Количество оцениваемых инициатив";"Регуляторные требования 1–5): 1→1; 2→1.25; 3→1.5; 4→1.75; 5→2. По умолчанию 1

Общая неопределённость (вычисляемый): K = 1 + Σ(коэф. активных рисков группы рисков) + Поправка(%)/100. По умолчанию 1
 
Количество оцениваемых инициатив: делитель итога (целое 1–99, по умолчанию 1); при значении ≤1 — деление не выполняется";"Итог = ОКРУГЛ.ВВЕРХ( база × К(Регуляторные требования) × К(Общая неопределённость) ÷ Кол-во оцениваемых инициатив ; 2 ). При Кол-ве инициатив = 0 — без деления.";"Выбор триггера (иначе Итог = 0).

Норматив: 51 чел-дн."
"Модельные стримы";"Арх. Компонент. Модель";"05А. Разработка пилотной модели (MVP)";"40";"Создание арх.компонента ""Модельный сервис""

И

Необходимость пилота (MVP)";"Кол-во моделей (Расчетное значение на базе количества созданных моделей);

Регуляторные требования; 

Общая неопределённость;

Наличие готовых промышленных витрин ;

Сложность алгоритма/тип ML задачи";"Кол-во моделей: 1→1; далее K = 1 + (N−1)×0.75 (2→1.75; 3→2.5; 4→3.25; …). По умолчанию 1

Регуляторные требования 1–5): 1→1; 2→1.25; 3→1.5; 4→1.75; 5→2. По умолчанию 1

Общая неопределённость (вычисляемый): берется из расчета общей неопределенности. Если она не была рассчитана, то по умолчанию коэффициент 1.

Наличие готовых промышленных витрин: Да→0.5; Нет→1

Сложность алгоритма/тип ML задачи: Табличные данные→0.75; Текстовая аналитика — Классические модели→1.25; Текстовая аналитика — LLM→1.4; Аудио аналитика→1.6; Компьютерное зрение (CV)→1.8; Оптимизационная задача→2.5; Гео-аналитика→3.0; Графовая аналитика→3.5. Для каскадов/ансамблей — сумма по выбранным типам";"Итог = ОКРУГЛ.ВВЕРХ( база × К(Кол-во моделей) × К(Регуляторные требования) × К(Общая неопределённость) × К(Наличие готовых промышленных витрин) × К(Сложность алгоритма/тип ML задачи) ; 2 ).";"Выбор триггера (иначе Итог = 0).

Норматив: 40 чел-дн.

Сумма значений, рассчитанных по формуле для каждой модели."
"Модельный стрим";"Арх. Компонент. Модель";"05. Разработка модели.";"37";"Создание архитектурного компонента ""Модель""";"Кол-во моделей;

Регуляторные требования; 

Общая неопределённость; 

Наличие готовых промышленных витрин; 

Сложность алгоритма/тип ML задачи";"Кол-во моделей: 1→1; далее K = 1 + (N−1)×0.75 (2→1.75; 3→2.5; 4→3.25; …). По умолчанию 1
 
Регуляторные требования 1–5): 1→1; 2→1.25; 3→1.5; 4→1.75; 5→2. По умолчанию 1

Общая неопределённость (вычисляемый): берется из расчета общей неопределенности. Если она не была рассчитана, то по умолчанию коэффициент 1.

Наличие готовых промышленных витрин: Да→0.5; Нет→1 

Сложность алгоритма/тип ML задачи: Табличные данные→0.75; Текстовая аналитика — Классические модели→1.25; Текстовая аналитика — LLM→1.4; Аудио аналитика→1.6; Компьютерное зрение (CV)→1.8; Оптимизационная задача→2.5; Гео-аналитика→3.0; Графовая аналитика→3.5. Для каскадов/ансамблей — сумма по выбранным типам";"Итог = ОКРУГЛ.ВВЕРХ( база × К(Кол-во моделей) × К(Регуляторные требования) × К(Общая неопределённость) × К(Наличие готовых промышленных витрин) × К(Сложность алгоритма/тип ML задачи) ; 2 ).";"Выбор триггера (иначе Итог = 0).

Норматив: 37 чел-дн.

Сумма значений, рассчитанных по формуле для каждой модели."
"Модельный стрим";"Арх. Компонент. Модель";"AutoML: разработка";"68";"Создание арх.компонента ""Модельный сервис""

И

Тип работ модельного сервиса = ""Разработка"" или ""Разработка и внедрение""

И

Необходимость AutoML = «Да»";"Кол-во моделей;

Регуляторные требования; 

Общая неопределённость";"Кол-во моделей: 1→1; далее K = 1 + (N−1)×0.75 (2→1.75; 3→2.5; 4→3.25; …). По умолчанию 1

Регуляторные требования 1–5): 1→1; 2→1.25; 3→1.5; 4→1.75; 5→2. По умолчанию 1

Общая неопределённость (вычисляемый): берется из расчета общей неопределенности. Если она не была рассчитана, то по умолчанию коэффициент 1.";"Итог = ОКРУГЛ.ВВЕРХ( база× К(Кол-во моделей) × К(Регуляторные требования) × К(Общая неопределённость) ; 2 ).";"Выбор триггера (иначе Итог = 0).

Норматив: 68 чел-дн."
"Модельный стрим";"Арх. Компонент. Модельный сервис";"05B. Пилотирование модели.";"34";"Создание арх.компонента ""Модельный сервис""

И

Необходимость пилота =  «Да»

И

Необходимость поддержки проведения пилота = «Да» 

И

Создание архитектурного компонента ""Модель""";"Кол-во моделей;

Общая неопределённость; 


Наличие готовых промышленных витрин";"Кол-во моделей: 1→1; далее K = 1 + (N−1)×0.75 (2→1.75; 3→2.5; 4→3.25; …). По умолчанию 1

Общая неопределённость (вычисляемый): берется из расчета общей неопределенности. Если она не была рассчитана, то по умолчанию коэффициент 1.

Наличие готовых промышленных витрин: Да→0.5; Нет→1";"Итог = ОКРУГЛ.ВВЕРХ( база ×  К(Кол-во моделей) ×  К(Общая неопределённость) × К(Наличие готовых промышленных витрин) ; 2 ).";"Выбор триггера (иначе Итог = 0).

Норматив: 34 чел-дн.

Сумма значений, рассчитанных по формуле для каждой модели."
"Модельный стрим";"Арх. Компонент. Объект данных";"07. Разработка витрины для применения модели.";"56";"Необходимость продуктивизации и количество дополнительных витрин - заполнено

И

Необходимость поддержки проведения пилота = «Да» 

ИЛИ

Тип работ модельного сервиса (одно из) = ""Разработка"", ""Внедрение"", ""Разработка и Внедрение"",";"Количество оцениваемых инициатив;

Регуляторные требования;

Общая неопределённость;

Необходимость продуктивизации и количество дополнительных витрин";"Количество оцениваемых инициатив: делитель итога (целое 1–99, по умолчанию 1); при значении ≤1 — деление не выполняется

Регуляторные требования 1–5): 1→1; 2→1.25; 3→1.5; 4→1.75; 5→2. По умолчанию 1
 
Общая неопределённость (вычисляемый): берется из расчета общей неопределенности. Если она не была рассчитана, то по умолчанию коэффициент 1.

Необходимость продуктивизации и кол-во доп. витрин: Не требуется→0; 1→1; далее K = 1 + (N−1)×0.75. По умолчанию «Не требуется»";"Итог = ОКРУГЛ.ВВЕРХ( база × К(Регуляторные требования) × К(Общая неопределённость) × К(Необходимость продуктивизации и кол-во доп. витрин) ÷ Кол-во оцениваемых инициатив ; 2 ). При Кол-ве инициатив = 0 — без деления.";"Выбор триггера (иначе Итог = 0).

Норматив: 56 чел-дн."
"Модельный стрим";"Арх. Компонент. Модель";"09. Адаптация и внедрение модели.";"50";"Тип работ модельного сервиса = ""Внедрение"" или ""Разработка и внедрение""

И

Каналы внедрения ≠ Пусто";"Кол-во моделей;

Регуляторные требования; 

Общая неопределённость; 

Сложность алгоритма/тип ML задачи;

Каналы внедрения*








*во второй итерации разработки в разрезе каждого сервиса будут считаться и суммироваться";"Кол-во моделей: 1→1; далее K = 1 + (N−1)×0.75 (2→1.75; 3→2.5; 4→3.25; …). По умолчанию 1
 
Регуляторные требования 1–5): 1→1; 2→1.25; 3→1.5; 4→1.75; 5→2. По умолчанию 1

Общая неопределённость (вычисляемый): берется из расчета общей неопределенности. Если она не была рассчитана, то по умолчанию коэффициент 1.

Сложность алгоритма/тип ML задачи: Табличные данные→0.75; Текстовая аналитика — Классические модели→1.25; Текстовая аналитика — LLM→1.4; Аудио аналитика→1.6; Компьютерное зрение (CV)→1.8; Оптимизационная задача→2.5; Гео-аналитика→3.0; Графовая аналитика→3.5. 


Каналы внедрения: Не требуется→0; Батч→0.5; Батч+загрузка данных потребителю→0.75; Батч+Онлайн→1.2; Онлайн→1.0; Онлайн GPU→1.25; Стриминг→1.5; Мобильные устройства→1.75; LLM→2.0; Гео-сервисы→2.25; Внедрение в облаке→2.5; Графовая платформа→3.0.";"Итог = ОКРУГЛ.ВВЕРХ( база × К(Кол-во моделей) × К(Регуляторные требования) × К(Общая неопределённость) × К(Сложность алгоритма/тип ML задачи) × К(Каналы внедрения) ; 2 ).";"Выбор триггера (иначе Итог = 0).

Норматив: 50 чел-дн.

Сумма значений, рассчитанных по формуле для каждой модели."
"Модельный стрим";"Арх. Компонент. Модель";"AutoML: внедрение";"68";"Тип работ модельного сервиса = ""Внедрение"" или ""Разработка и внедрение""

И

Каналы внедрения ≠ Пусто

И

Необходимость AutoML = «Да»";"Кол-во моделей;

Регуляторные требования;

Общая неопределённость";"Кол-во моделей: 1→1; далее K = 1 + (N−1)×0.75 (2→1.75; 3→2.5; 4→3.25; …). По умолчанию 1

Регуляторные требования 1–5): 1→1; 2→1.25; 3→1.5; 4→1.75; 5→2. По умолчанию 1
 
Общая неопределённость (вычисляемый): берется из расчета общей неопределенности. Если она не была рассчитана, то по умолчанию коэффициент 1.";"Итог = ОКРУГЛ.ВВЕРХ(база × К(Кол-во моделей) × К(Регуляторные требования) × К(Общая неопределённость) ; 2 ).";"Выбор триггера (иначе Итог = 0).

Норматив: 68 чел-дн."
