Стрим;Арх. Компонент;Название в смарт-анкете СУМ;Тип работы;Наличие норматива;Параметр-триггер;Параметры трудоёмкости;Коэффициенты параметров трудоёмкости;Формула;Результат выбора
Источники данных;Арх. Компонент. Система-источник;Этап 214. Интервьюирование заказчика, подтверждение финансирования и обработка RDS;Опциональная;0,7;Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции;"1. Сложность предметной области
2. Количество сущностей (исходных таблиц)
3. Детализация и ясность запроса постановки задачи
4. Риск появления дополнительных систем-источников
5. Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчёта метрик";"— Сложность предметной области: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
— Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25+)→1.75; Неизвестно→1.25
— Детализация и ясность запроса постановки задачи: Высокая→0.75; Средняя→1.25; Низкая→1.5; Неизвестно→1
— Риск появления дополнительных систем-источников: Да→0.75; Нет→1.25; Неизвестно→1
— Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчёта метрик: Да→0.75; Нет→1.25; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность предметной области] × [Количество сущностей (исходных таблиц)] × [Детализация и ясность запроса постановки задачи] × [Риск появления дополнительных систем-источников] × [Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчёта метрик]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,7 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 214. Планирование и работа с бэклогом;Опциональная;1;Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции;"1. Сложность предметной области
2. Количество сущностей (исходных таблиц)
3. Детализация и ясность запроса постановки задачи
4. Риск появления дополнительных систем-источников
5. Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчёта метрик
6. NDA
7. Наличие конфиденциальных данных";"— Сложность предметной области: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
— Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25+)→1.75; Неизвестно→1.25
— Детализация и ясность запроса постановки задачи: Высокая→0.75; Средняя→1.25; Низкая→1.5; Неизвестно→1
— Риск появления дополнительных систем-источников: Да→0.75; Нет→1.25; Неизвестно→1
— Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчёта метрик: Да→0.75; Нет→1.25; Неизвестно→1
— NDA: Стандартное→0.75; Нестандартное→1.25; Не требуется→0; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность предметной области] × [Количество сущностей (исходных таблиц)] × [Детализация и ясность запроса постановки задачи] × [Риск появления дополнительных систем-источников] × [Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчёта метрик] × [NDA] × [Наличие конфиденциальных данных]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 1 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 214. Сбор и анализ требований;Опциональная;0,9;Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции;"1. Сложность предметной области
2. Количество сущностей (исходных таблиц)
3. Детализация и ясность запроса постановки задачи
4. Риск появления дополнительных систем-источников
5. Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчёта метрик
6. Наличие конфиденциальных данных";"— Сложность предметной области: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
— Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25+)→1.75; Неизвестно→1.25
— Детализация и ясность запроса постановки задачи: Высокая→0.75; Средняя→1.25; Низкая→1.5; Неизвестно→1
— Риск появления дополнительных систем-источников: Да→0.75; Нет→1.25; Неизвестно→1
— Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчёта метрик: Да→0.75; Нет→1.25; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность предметной области] × [Количество сущностей (исходных таблиц)] × [Детализация и ясность запроса постановки задачи] × [Риск появления дополнительных систем-источников] × [Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчёта метрик] × [Наличие конфиденциальных данных]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,9 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 214. Поиск и анализ источника(ов) и данных;Опциональная;2,7;Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции;"1. Сложность предметной области
2. Количество сущностей (исходных таблиц)
3. Детализация и ясность запроса постановки задачи
4. Риск появления дополнительных систем-источников
5. Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчёта метрик
6. NDA
7. Наличие конфиденциальных данных";"— Сложность предметной области: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
— Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25+)→1.75; Неизвестно→1.25
— Детализация и ясность запроса постановки задачи: Высокая→0.75; Средняя→1.25; Низкая→1.5; Неизвестно→1
— Риск появления дополнительных систем-источников: Да→0.75; Нет→1.25; Неизвестно→1
— Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчёта метрик: Да→0.75; Нет→1.25; Неизвестно→1
— NDA: Стандартное→0.75; Нестандартное→1.25; Не требуется→0; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность предметной области] × [Количество сущностей (исходных таблиц)] × [Детализация и ясность запроса постановки задачи] × [Риск появления дополнительных систем-источников] × [Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчёта метрик] × [NDA] × [Наличие конфиденциальных данных]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 2,7 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 214. Подготовка АЗ для заключения NDA, согласование содержания NDA;Опциональная;0,6;Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции;"1. Сложность предметной области
2. Количество сущностей (исходных таблиц)
3. NDA
4. Наличие конфиденциальных данных";"— Сложность предметной области: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
— Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25+)→1.75; Неизвестно→1.25
— NDA: Стандартное→0.75; Нестандартное→1.25; Не требуется→0; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность предметной области] × [Количество сущностей (исходных таблиц)] × [NDA] × [Наличие конфиденциальных данных]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,6 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 214. Получение визы от ИБ и ЮБ по возможности обмена конфиденциальными данными;Опциональная;0,7;Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции;"1. Сложность предметной области
2. Количество сущностей (исходных таблиц)
3. Наличие конфиденциальных данных";"— Сложность предметной области: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
— Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25+)→1.75; Неизвестно→1.25
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность предметной области] × [Количество сущностей (исходных таблиц)] × [Наличие конфиденциальных данных]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,7 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 214. Подготовка Отчета о проведенном Исследовании и согласование результата;Опциональная;0,8;Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции;"1. Сложность предметной области
2. Количество сущностей (исходных таблиц)
3. Наличие конфиденциальных данных";"— Сложность предметной области: Низкая→0.75; Средняя→1; Высокая→1.5; Неизвестно→1.25
— Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25+)→1.75; Неизвестно→1.25
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Сложность предметной области] × [Количество сущностей (исходных таблиц)] × [Наличие конфиденциальных данных]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,8 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 214. Доработка внутренней документации и информационных ресурсов группы;Опциональная;1;Тип системы-источника (внешний), Необходимо подтвердить возможность интеграции;"1. Количество сущностей (исходных таблиц)
2. NDA";"— Количество сущностей (исходных таблиц): Точечное(1-4)→0.5; Малое(5-9)→0.75; Среднее(9-15)→1; Крупное(15-20)→1.25; Большое(20-25)→1.5; Масштабное(25+)→1.75; Неизвестно→1.25
— NDA: Стандартное→0.75; Нестандартное→1.25; Не требуется→0; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Количество сущностей (исходных таблиц)] × [NDA]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 1 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 215. Интервьюирование заказчика, подтверждение финансирования и обработка RDS;Опциональная;0,7;Тип системы-источника (внешний), Пилот (первичный, повторный);"1. Пилот
2. Требуется хэширование/ шифрование
3. Режим обмена данными";"— Пилот: Первичный→1.1; Повторный→0.75; Не требуется→ работы пилота исключаются
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Режим обмена данными: Односторонний→0.9; Двусторонний→1.25; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Пилот] × [Требуется хэширование/ шифрование] × [Режим обмена данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,7 чд.
Источники данных;Арх. Компонент. Система-источник;Этап 215. Планирование и работа с бэклогом;Опциональная;0,9;Тип системы-источника (внешний), Пилот (первичный, повторный);"1. Пилот
2. NDA
3. Наличие юридического основания для пилота
4. Наличие конфиденциальных данных
5. Требуется хэширование/ шифрование
6. Режим обмена данными";"— Пилот: Первичный→1.1; Повторный→0.75; Не требуется→ работы пилота исключаются
— NDA: Стандартное→0.75; Нестандартное→1.25; Не требуется→0; Неизвестно→1
— Наличие юридического основания для пилота: Да→0; Нет→1.25; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Режим обмена данными: Односторонний→0.9; Двусторонний→1.25; Неизвестно→1";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Пилот] × [NDA] × [Наличие юридического основания для пилота] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Режим обмена данными]; 0,1)";Выбор триггера (иначе Итог = 0). Норматив: 0,9 чд.
